GPS time,SatPRN,Sat_x,Sat_y,Sat_z,Pr,cn0,DopplerShiftHz,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
2133.337626188004,G04,3410986.7856762093,18834442.304758653,18375928.89547028,21761725.63432941,33.9,-1340.700090593904,,,,,,
2133.3406671870034,G09,13370265.980354125,7305338.346913893,21675664.332195744,20800539.22066005,32.8,471.1499901200463,,,,,,
2133.3297842290194,G11,14756323.252803404,-12169800.39386651,18429073.290482685,23806385.5769856,32.2,1193.8500075907327,,,,,,
2133.333470965008,G16,-3375577.752657065,19898135.41156313,16694177.925089328,22811715.45572636,31.3,-952.9000194850996,,,,,,
2133.325036293012,G20,6090523.423065237,-15521540.957883444,20767801.38930305,25540978.87688122,32.2,3543.1499986104245,,,,,,
,,,,,,,,4426817.732122402,3105037.5357439853,3371765.04802407,32.11937644645136,35.04640600218225,216.25491118989885
,,,,,,,,4426790.005482059,3105030.497439944,3371863.605216281,32.12025738493748,35.046513655248745,246.0088737010956
,,,,,,,,4426847.443983556,3105046.088500441,3371772.042144253,32.11928968942699,35.04629940846637,244.73484282381835
,,,,,,,,4426816.354614434,3105031.4610429453,3371792.167687593,32.11960570456245,35.04636168619492,226.76452794112265
,,,,,,,,4426712.667521228,3105004.8975972827,3371869.3918354744,32.12067564564234,35.046762165843305,183.01141383498907
,,,,,,,,4427869.696149262,3105523.320820908,3369975.537314515,32.10024233606415,35.04421969423767,230.82857474777848
